"""time""","""serial""","number_of_people"
2019-08-01 11:00:00,"00000000e8a064a4",4
2019-08-01 11:00:00,"00000000f1124bca",29
2019-08-01 11:00:00,"00000000fb7600be",44
2019-08-01 11:00:00,"00000000fdda10fe",40
2019-08-01 11:00:00,"00000000fffb8cf0",31
2019-08-01 12:00:00,"0000000006dd41f6",16
2019-08-01 12:00:00,"000000000f4919c9",31
2019-08-01 12:00:00,"0000000019fb59c4",21
2019-08-01 12:00:00,"00000000342570c2",20
2019-08-01 12:00:00,"0000000038bf9618",20
2019-08-01 12:00:00,"0000000038d83d41",23
2019-08-01 12:00:00,"000000004ef3150d",36
2019-08-01 12:00:00,"0000000053c6c2be",22
2019-08-01 12:00:00,"00000000675d5200",41
2019-08-01 12:00:00,"000000006b087f40",24
2019-08-01 12:00:00,"000000006b44cce7",123
2019-08-01 12:00:00,"0000000074f765a7",0
2019-08-01 12:00:00,"000000007b5207b6",26
2019-08-01 12:00:00,"0000000096918cfa",19
2019-08-01 12:00:00,"00000000a53ed894",7
2019-08-01 12:00:00,"00000000aa852af1",70
2019-08-01 12:00:00,"00000000afef4555",86
2019-08-01 12:00:00,"00000000b33a8357",0
2019-08-01 12:00:00,"00000000cd16b8ef",0
2019-08-01 12:00:00,"00000000d747f075",4
2019-08-01 12:00:00,"00000000e8a064a4",1
2019-08-01 12:00:00,"00000000f1124bca",73
2019-08-01 12:00:00,"00000000fb7600be",47
2019-08-01 12:00:00,"00000000fdda10fe",43
2019-08-01 12:00:00,"00000000fffb8cf0",27
2019-08-01 13:00:00,"0000000006dd41f6",11
2019-08-01 13:00:00,"000000000f4919c9",28
2019-08-01 13:00:00,"0000000019fb59c4",40
2019-08-01 13:00:00,"00000000342570c2",21
2019-08-01 13:00:00,"0000000038bf9618",35
2019-08-01 13:00:00,"0000000038d83d41",18
2019-08-01 13:00:00,"000000004ef3150d",13
2019-08-01 13:00:00,"0000000053c6c2be",59
2019-08-01 13:00:00,"00000000675d5200",45
2019-08-01 13:00:00,"000000006b087f40",29
2019-08-01 13:00:00,"000000006b44cce7",116
2019-08-01 13:00:00,"0000000074f765a7",0
2019-08-01 13:00:00,"000000007b5207b6",15
2019-08-01 13:00:00,"0000000096918cfa",9
2019-08-01 13:00:00,"00000000a53ed894",9
2019-08-01 13:00:00,"00000000aa852af1",50
2019-08-01 13:00:00,"00000000afef4555",96
2019-08-01 13:00:00,"00000000b33a8357",0
2019-08-01 13:00:00,"00000000cd16b8ef",0
2019-08-01 13:00:00,"00000000d747f075",20
2019-08-01 13:00:00,"00000000e8a064a4",4
2019-08-01 13:00:00,"00000000f1124bca",36
2019-08-01 13:00:00,"00000000fb7600be",49
2019-08-01 13:00:00,"00000000fdda10fe",41
2019-08-01 13:00:00,"00000000fffb8cf0",20
2019-08-01 14:00:00,"0000000006dd41f6",9
2019-08-01 14:00:00,"000000000f4919c9",21
2019-08-01 14:00:00,"0000000019fb59c4",40
2019-08-01 14:00:00,"00000000342570c2",15
2019-08-01 14:00:00,"0000000038bf9618",41
2019-08-01 14:00:00,"0000000038d83d41",19
2019-08-01 14:00:00,"000000004ef3150d",12
2019-08-01 14:00:00,"0000000053c6c2be",57
2019-08-01 14:00:00,"00000000675d5200",18
2019-08-01 14:00:00,"000000006b087f40",28
2019-08-01 14:00:00,"000000006b44cce7",111
2019-08-01 14:00:00,"0000000074f765a7",0
2019-08-01 14:00:00,"000000007b5207b6",17
2019-08-01 14:00:00,"0000000096918cfa",5
2019-08-01 14:00:00,"00000000a53ed894",7
2019-08-01 14:00:00,"00000000aa852af1",54
2019-08-01 14:00:00,"00000000afef4555",95
2019-08-01 14:00:00,"00000000b33a8357",0
2019-08-01 14:00:00,"00000000cd16b8ef",0
2019-08-01 14:00:00,"00000000d747f075",17
2019-08-01 14:00:00,"00000000e8a064a4",3
2019-08-01 14:00:00,"00000000f1124bca",2
2019-08-01 14:00:00,"00000000fb7600be",27
2019-08-01 14:00:00,"00000000fdda10fe",39
2019-08-01 14:00:00,"00000000fffb8cf0",18
2019-08-01 15:00:00,"0000000006dd41f6",11
2019-08-01 15:00:00,"000000000f4919c9",20
2019-08-01 15:00:00,"0000000019fb59c4",17
2019-08-01 15:00:00,"00000000342570c2",14
2019-08-01 15:00:00,"0000000038bf9618",46
2019-08-01 15:00:00,"0000000038d83d41",18
2019-08-01 15:00:00,"000000004ef3150d",38
2019-08-01 15:00:00,"0000000053c6c2be",30
2019-08-01 15:00:00,"00000000675d5200",9
2019-08-01 15:00:00,"000000006b087f40",29
2019-08-01 15:00:00,"000000006b44cce7",91
2019-08-01 15:00:00,"0000000074f765a7",0
2019-08-01 15:00:00,"000000007b5207b6",10
2019-08-01 15:00:00,"0000000096918cfa",2
2019-08-01 15:00:00,"00000000a53ed894",9
2019-08-01 15:00:00,"00000000aa852af1",53
2019-08-01 15:00:00,"00000000afef4555",75
2019-08-01 15:00:00,"00000000b33a8357",0
2019-08-01 15:00:00,"00000000cd16b8ef",0
2019-08-01 15:00:00,"00000000d747f075",2
2019-08-01 15:00:00,"00000000e8a064a4",5
2019-08-01 15:00:00,"00000000f1124bca",1
2019-08-01 15:00:00,"00000000fb7600be",28
2019-08-01 15:00:00,"00000000fdda10fe",43
2019-08-01 15:00:00,"00000000fffb8cf0",27
2019-08-01 16:00:00,"0000000006dd41f6",10
2019-08-01 16:00:00,"000000000f4919c9",12
2019-08-01 16:00:00,"0000000019fb59c4",12
2019-08-01 16:00:00,"00000000342570c2",12
2019-08-01 16:00:00,"0000000038bf9618",45
2019-08-01 16:00:00,"0000000038d83d41",18
2019-08-01 16:00:00,"000000004ef3150d",16
2019-08-01 16:00:00,"0000000053c6c2be",11
2019-08-01 16:00:00,"00000000675d5200",7
2019-08-01 16:00:00,"000000006b087f40",23
2019-08-01 16:00:00,"000000006b44cce7",87
2019-08-01 16:00:00,"0000000074f765a7",0
2019-08-01 16:00:00,"000000007b5207b6",2
2019-08-01 16:00:00,"0000000096918cfa",2
2019-08-01 16:00:00,"00000000a53ed894",9
2019-08-01 16:00:00,"00000000aa852af1",38
2019-08-01 16:00:00,"00000000afef4555",65
2019-08-01 16:00:00,"00000000b33a8357",0
2019-08-01 16:00:00,"00000000cd16b8ef",0
2019-08-01 16:00:00,"00000000d747f075",2
2019-08-01 16:00:00,"00000000e8a064a4",5
2019-08-01 16:00:00,"00000000f1124bca",1
2019-08-01 16:00:00,"00000000fb7600be",25
